Payout_ID,Entry_ID,Placement_Rank,Prize_Amount,Tax_Deducted
PO0672,E1279,9,25256.38,2525.64
PO0673,E1280,10,15175.36,1517.54
PO0674,E1281,6,5217.73,521.77
PO0675,E1282,7,18431.26,1843.13
PO0676,E1283,8,15417.23,1541.72
PO0677,E1284,9,2567.39,256.74
PO0678,E1285,10,2200.66,220.07
PO0679,E1286,1,34823.08,3482.31
PO0680,E1287,2,2229.21,222.92
PO0681,E1288,3,4247.17,424.72
PO0682,E1289,4,1320.15,132.02
PO0683,E1290,5,18919.48,1891.95
PO0684,E1291,1,16251.73,1625.17
PO0685,E1292,2,50431.15,5043.12
PO0686,E1293,3,34990.26,3499.03
PO0687,E1294,4,1810.56,181.06
PO0688,E1295,5,39815.55,3981.56
PO0689,E1296,6,8662.61,866.26
PO0690,E1297,7,25367.65,2536.77
PO0691,E1299,9,17506.48,1750.65
PO0692,E1300,10,10867.49,1086.75
PO0693,E1341,6,100.00,10.00
PO0694,E1342,7,1477.96,147.80
PO0695,E1343,8,9290.55,929.05
PO0696,E1344,9,14655.64,1465.56
PO0697,E1345,10,11107.02,1110.70
PO0698,E1346,1,45126.24,4512.62
PO0699,E1347,2,50931.83,5093.18
PO0700,E1348,3,16014.14,1601.41
PO0701,E1349,4,27622.27,2762.23
PO0702,E1350,5,10309.12,1030.91
PO0703,E1351,1,42698.49,4269.85
PO0704,E1352,2,43263.50,4326.35
PO0705,E1353,3,46824.43,4682.44
PO0706,E1354,4,33678.34,3367.83
PO0707,E1355,5,1149.90,114.99
PO0708,E1356,6,29424.55,2942.45
PO0709,E1357,7,8591.85,859.19
PO0710,E1358,8,23964.54,2396.45
PO0711,E1359,9,2516.87,251.69
PO0712,E1360,10,4914.72,491.47
PO0713,E1361,6,20977.60,2097.76
PO0714,E1362,7,27836.03,2783.60
PO0715,E1363,8,12218.58,1221.86
PO0716,E1364,9,21993.93,2199.39
PO0717,E1365,10,6449.36,644.94
PO0718,E1366,1,18556.10,1855.61
PO0719,E1367,2,42217.43,4221.74
PO0720,E1368,3,35360.79,3536.08
PO0721,E1369,4,8282.71,828.27
PO0722,E1370,5,22826.11,2282.61
PO0723,E1371,1,31362.63,3136.26
PO0724,E1372,2,20538.21,2053.82
PO0725,E1373,3,8089.78,808.98
PO0726,E1374,4,38411.03,3841.10
PO0727,E1375,5,26454.11,2645.41
PO0728,E1376,6,23970.72,2397.07
PO0729,E1377,7,5961.90,596.19
PO0730,E1378,8,23146.00,2314.60
PO0731,E1379,9,4235.97,423.60
PO0732,E1380,10,15180.09,1518.01
PO0733,E1382,7,6771.61,677.16
PO0734,E1383,8,25659.73,2565.97
PO0735,E1384,9,16616.11,1661.61
PO0736,E1385,10,8751.76,875.18
PO0737,E1386,1,40941.16,4094.12
PO0738,E1387,2,11463.12,1146.31
PO0739,E1388,3,27750.03,2775.00
PO0740,E1389,4,18842.58,1884.26
PO0741,E1390,5,34946.00,3494.60
PO0742,E1431,1,5239.85,523.99
PO0743,E1432,2,4060.86,406.09
PO0744,E1433,3,44638.95,4463.89
PO0745,E1435,5,20604.31,2060.43
PO0746,E1437,7,22728.78,2272.88
PO0747,E1438,8,20833.23,2083.32
PO0748,E1439,9,24130.97,2413.10
PO0749,E1440,10,6618.17,661.82
PO0750,E1442,7,17955.30,1795.53
PO0751,E1443,8,25056.34,2505.63
PO0752,E1444,9,19231.62,1923.16
PO0753,E1446,1,34276.45,3427.64
PO0754,E1447,2,1300.79,130.08
PO0755,E1448,3,2125.06,212.51
PO0756,E1449,4,1020.92,102.09
PO0757,E1450,5,32095.01,3209.50
PO0758,E1451,1,51528.68,5152.87
PO0759,E1452,2,12502.09,1250.21
PO0760,E1453,3,11433.31,1143.33
PO0761,E1454,4,100.00,10.00
PO0762,E1455,5,38848.99,3884.90
PO0763,E1456,6,6297.58,629.76
PO0764,E1457,7,7799.05,779.91
PO0765,E1459,9,13207.87,1320.79
PO0766,E1461,6,13360.90,1336.09
PO0767,E1462,7,13183.23,1318.32
PO0768,E1463,8,4638.41,463.84
PO0769,E1464,9,14962.80,1496.28
PO0770,E1465,10,909.77,90.98
PO0771,E1466,1,3606.12,360.61
PO0772,E1467,2,18739.94,1873.99
PO0773,E1469,4,947.88,94.79
PO0774,E1471,1,10102.62,1010.26
PO0775,E1472,2,1107.00,110.70
PO0776,E1473,3,25927.46,2592.75
PO0777,E1474,4,12718.42,1271.84
PO0778,E1475,5,31848.49,3184.85
PO0779,E1476,6,7119.46,711.95
PO0780,E1477,7,16536.84,1653.68
PO0781,E1478,8,26035.18,2603.52
PO0782,E1479,9,25453.68,2545.37
PO0783,E1480,10,19963.88,1996.39
PO0784,E1521,6,26822.11,2682.21
PO0785,E1522,7,20723.35,2072.34
PO0786,E1523,8,27252.55,2725.26
PO0787,E1524,9,5517.94,551.79
PO0788,E1525,10,12347.13,1234.71
PO0789,E1526,1,47431.03,4743.10
PO0790,E1527,2,652.18,65.22
PO0791,E1528,3,36412.67,3641.27
PO0792,E1529,4,36476.27,3647.63
PO0793,E1530,5,7265.14,726.51
PO0794,E1531,1,28628.50,2862.85
PO0795,E1532,2,36240.22,3624.02
PO0796,E1533,3,23436.54,2343.65
PO0797,E1534,4,34595.49,3459.55
PO0798,E1535,5,33585.62,3358.56
PO0799,E1536,6,3644.38,364.44
PO0800,E1537,7,27370.51,2737.05
PO0801,E1538,8,633.28,63.33
PO0802,E1539,9,215.88,21.59
PO0803,E1540,10,11523.71,1152.37
PO0804,E1541,6,29018.44,2901.84
PO0805,E1542,7,29702.33,2970.23
PO0806,E1543,8,2155.81,215.58
PO0807,E1544,9,13550.38,1355.04
PO0808,E1545,10,10272.69,1027.27
PO0809,E1546,1,1646.34,164.63
PO0810,E1547,2,13794.30,1379.43
PO0811,E1548,3,45266.04,4526.60
PO0812,E1549,4,26436.37,2643.64
PO0813,E1550,5,22877.85,2287.78
PO0814,E1551,1,47503.44,4750.34
PO0815,E1552,2,29697.72,2969.77
PO0816,E1553,3,42599.21,4259.92
PO0817,E1554,4,43963.16,4396.32
PO0818,E1555,5,3860.39,386.04
PO0819,E1557,7,23891.72,2389.17
PO0820,E1558,8,12517.63,1251.76
PO0821,E1559,9,19615.69,1961.57
PO0822,E1560,10,21012.04,2101.20
PO0823,E1561,6,4858.45,485.85
PO0824,E1563,8,10894.07,1089.41
PO0825,E1564,9,23313.60,2331.36
PO0826,E1565,10,18176.75,1817.68
PO0827,E1566,1,35120.70,3512.07
PO0828,E1567,2,29232.54,2923.25
PO0829,E1569,4,18792.30,1879.23
PO0830,E1570,5,6614.28,661.43
PO0831,E1611,1,28417.95,2841.80
PO0832,E1612,2,3607.67,360.77
PO0833,E1613,3,37198.64,3719.86
PO0834,E1614,4,18902.46,1890.25
PO0835,E1615,5,16688.86,1668.89
PO0836,E1616,6,32685.52,3268.55
PO0837,E1617,7,6663.08,666.31
PO0838,E1618,8,10247.27,1024.73
PO0839,E1619,9,17446.24,1744.62
PO0840,E1620,10,5822.20,582.22
PO0841,E1621,6,959.92,95.99
PO0842,E1622,7,19902.42,1990.24
PO0843,E1623,8,25918.03,2591.80
PO0844,E1624,9,6220.97,622.10
PO0845,E1625,10,15576.90,1557.69
PO0846,E1627,2,8208.00,820.80
PO0847,E1628,3,26258.71,2625.87
PO0848,E1629,4,11413.68,1141.37
PO0849,E1630,5,1965.33,196.53
PO0850,E1631,1,829.28,82.93
PO0851,E1632,2,46961.22,4696.12
PO0852,E1633,3,23331.49,2333.15
PO0853,E1634,4,12915.57,1291.56
PO0854,E1635,5,6898.81,689.88
PO0855,E1636,6,9567.52,956.75
PO0856,E1637,7,521.29,52.13
PO0857,E1638,8,17246.48,1724.65
PO0858,E1639,9,19548.68,1954.87
PO0859,E1640,10,16505.43,1650.54
PO0860,E1641,6,6641.53,664.15
PO0861,E1642,7,27705.28,2770.53
PO0862,E1643,8,17057.99,1705.80
PO0863,E1644,9,20941.52,2094.15
PO0864,E1645,10,7459.40,745.94
PO0865,E1646,1,45516.26,4551.63
PO0866,E1647,2,22888.32,2288.83
PO0867,E1648,3,45614.46,4561.45
PO0868,E1649,4,29895.40,2989.54
PO0869,E1650,5,1194.62,119.46
PO0870,E1651,1,32059.96,3206.00
PO0871,E1652,2,48953.10,4895.31
PO0872,E1653,3,20735.15,2073.52
PO0873,E1654,4,40872.72,4087.27
PO0874,E1655,5,27051.15,2705.12
PO0875,E1656,6,10827.70,1082.77
PO0876,E1657,7,28081.44,2808.14
PO0877,E1658,8,5581.05,558.11
PO0878,E1659,9,9962.03,996.20
PO0879,E1660,10,12599.54,1259.95
PO0880,E1701,6,30448.08,3044.81
PO0881,E1702,7,1547.45,154.75
PO0882,E1703,8,24592.75,2459.28
PO0883,E1704,9,23615.83,2361.58
PO0884,E1705,10,19598.36,1959.84
PO0885,E1706,1,21571.29,2157.13
PO0886,E1707,2,45877.35,4587.73
PO0887,E1708,3,24129.74,2412.97
PO0888,E1709,4,10940.57,1094.06
PO0889,E1710,5,8095.06,809.51
PO0890,E1711,1,51944.41,5194.44
PO0891,E1712,2,14105.17,1410.52
PO0892,E1713,3,671.53,67.15
PO0893,E1714,4,38199.67,3819.97
PO0894,E1715,5,29347.66,2934.77
PO0895,E1716,6,31393.47,3139.35
PO0896,E1717,7,24682.61,2468.26
PO0897,E1718,8,27671.59,2767.16
PO0898,E1719,9,17069.88,1706.99
PO0899,E1720,10,1273.66,127.37
PO0900,E1721,6,22004.50,2200.45
PO0901,E1722,7,23181.69,2318.17
PO0902,E1723,8,21568.94,2156.89
PO0903,E1724,9,12491.39,1249.14
PO0904,E1725,10,3038.26,303.83
PO0905,E1726,1,4033.02,403.30
PO0906,E1727,2,22640.49,2264.05
PO0907,E1728,3,18737.98,1873.80
PO0908,E1729,4,35563.17,3556.32
PO0909,E1730,5,40177.92,4017.79
PO0910,E1731,1,16864.06,1686.41
PO0911,E1732,2,28950.14,2895.01
PO0912,E1733,3,35986.82,3598.68
PO0913,E1734,4,27953.62,2795.36
PO0914,E1735,5,21823.47,2182.35
PO0915,E1736,6,27301.27,2730.13
PO0916,E1737,7,17721.92,1772.19
PO0917,E1738,8,20976.23,2097.62
PO0918,E1739,9,23027.61,2302.76
PO0919,E1740,10,12250.42,1225.04
PO0920,E1741,6,37480.20,3748.02
PO0921,E1742,7,25115.45,2511.55
PO0922,E1743,8,12566.07,1256.61
PO0923,E1744,9,17891.79,1789.18
PO0924,E1745,10,18191.15,1819.12
PO0925,E1746,1,32733.96,3273.40
PO0926,E1747,2,37541.92,3754.19
PO0927,E1748,3,33680.80,3368.08
PO0928,E1749,4,8114.94,811.49
PO0929,E1750,5,40869.86,4086.99
PO0930,E1791,1,29454.64,2945.46
PO0931,E1792,2,3781.56,378.16
PO0932,E1793,3,14064.30,1406.43
PO0933,E1794,4,44517.15,4451.72
PO0934,E1795,5,4028.01,402.80
PO0935,E1796,6,28222.46,2822.25
PO0936,E1797,7,5416.41,541.64
PO0937,E1798,8,23616.01,2361.60
PO0938,E1799,9,21419.31,2141.93
PO0939,E1800,10,5100.69,510.07
PO0940,E1801,6,23220.76,2322.08
PO0941,E1802,7,20862.84,2086.28
PO0942,E1803,8,11444.88,1144.49
PO0943,E1804,9,25499.09,2549.91
PO0944,E1805,10,12812.64,1281.26
PO0945,E1806,1,39095.58,3909.56
PO0946,E1807,2,47735.31,4773.53
PO0947,E1808,3,3710.20,371.02
PO0948,E1809,4,5050.15,505.01
PO0949,E1810,5,3299.42,329.94
PO0950,E1811,1,15330.41,1533.04
PO0951,E1812,2,52336.46,5233.65
PO0952,E1813,3,15511.87,1551.19
PO0953,E1814,4,43956.54,4395.65
PO0954,E1816,6,18748.12,1874.81
PO0955,E1817,7,25197.00,2519.70
PO0956,E1818,8,7401.23,740.12
PO0957,E1819,9,1679.79,167.98
PO0958,E1820,10,9815.00,981.50
PO0959,E1821,6,20574.40,2057.44
PO0960,E1822,7,22866.88,2286.69
PO0961,E1823,8,3162.59,316.26
PO0962,E1824,9,25385.31,2538.53
PO0963,E1825,10,17657.22,1765.72
PO0964,E1826,1,1401.21,140.12
PO0965,E1827,2,45692.82,4569.28
PO0966,E1828,3,21258.06,2125.81
PO0967,E1830,5,10621.51,1062.15
PO0968,E1831,1,7145.63,714.56
PO0969,E1832,2,13028.12,1302.81
PO0970,E1833,3,47204.36,4720.44
PO0971,E1835,5,29222.14,2922.21
PO0972,E1837,7,5920.81,592.08
PO0973,E1838,8,28244.41,2824.44
PO0974,E1839,9,1347.56,134.76
PO0975,E1840,10,20105.57,2010.56
PO0976,E1881,6,35576.47,3557.65
PO0977,E1882,7,33178.41,3317.84
PO0978,E1883,8,12600.46,1260.05
PO0979,E1884,9,1569.66,156.97
PO0980,E1885,10,6953.10,695.31
PO0981,E1886,1,1767.41,176.74
PO0982,E1887,2,49581.37,4958.14
PO0983,E1888,3,25045.90,2504.59
PO0984,E1889,4,17120.59,1712.06
PO0985,E1890,5,27991.37,2799.14
PO0986,E1891,1,37322.09,3732.21
PO0987,E1892,2,34022.30,3402.23
PO0988,E1894,4,40273.67,4027.37
PO0989,E1895,5,6699.43,669.94
PO0990,E1896,6,13237.41,1323.74
PO0991,E1898,8,9341.53,934.15
PO0992,E1900,10,4585.98,458.60
PO0993,E1901,6,24822.69,2482.27
PO0994,E1902,7,32346.92,3234.69
PO0995,E1903,8,6289.64,628.96
PO0996,E1905,10,1547.59,154.76
PO0997,E1906,1,14407.14,1440.71
PO0998,E1907,2,8231.22,823.12
PO0999,E1908,3,46915.46,4691.55
PO1000,E1909,4,17069.53,1706.95
PO1001,E1910,5,30844.58,3084.46
PO1002,E1911,1,55909.32,5590.93
PO1003,E1912,2,50297.86,5029.79
PO1004,E1913,3,33152.30,3315.23
PO1005,E1914,4,13619.66,1361.97
PO1006,E1915,5,30471.99,3047.20
PO1007,E1916,6,28183.75,2818.38
PO1008,E1917,7,1210.86,121.09
PO1009,E1918,8,23544.23,2354.42
PO1010,E1919,9,13363.34,1336.33
PO1011,E1920,10,16511.38,1651.14
PO1012,E1921,6,22285.09,2228.51
PO1013,E1922,7,17565.17,1756.52
PO1014,E1923,8,5010.07,501.01
PO1015,E1924,9,18542.67,1854.27
PO1016,E1925,10,19150.97,1915.10
PO1017,E1926,1,9250.55,925.05
PO1018,E1927,2,34438.29,3443.83
PO1019,E1928,3,36990.62,3699.06
PO1020,E1929,4,20465.23,2046.52
PO1021,E1930,5,17965.25,1796.53
PO1022,E1971,1,14108.61,1410.86
PO1023,E1972,2,24972.51,2497.25
PO1024,E1973,3,26018.99,2601.90
PO1025,E1974,4,30901.21,3090.12
PO1026,E1975,5,31056.81,3105.68
PO1027,E1976,6,26408.25,2640.83
PO1028,E1977,7,19188.76,1918.88
PO1029,E1978,8,23674.71,2367.47
PO1030,E1979,9,1399.86,139.99
PO1031,E1981,6,2961.70,296.17
PO1032,E1983,8,1789.91,178.99
PO1033,E1984,9,6882.77,688.28
PO1034,E1985,10,14559.08,1455.91
PO1035,E1986,1,37155.64,3715.56
PO1036,E1987,2,15667.97,1566.80
PO1037,E1988,3,28268.27,2826.83
PO1038,E1989,4,14459.10,1445.91
PO1039,E1990,5,17543.88,1754.39
PO1040,E1991,1,6085.83,608.58
PO1041,E1992,2,49916.97,4991.70
PO1042,E1993,3,13359.00,1335.90
PO1043,E1994,4,23287.71,2328.77
PO1044,E1995,5,22254.24,2225.42
PO1045,E1996,6,30317.92,3031.79
PO1046,E1997,7,12627.27,1262.73
PO1047,E1998,8,12663.98,1266.40
PO1048,E1999,9,17018.47,1701.85
PO1049,E2000,10,5118.87,511.89
